team,opponent,player_name,position,position_id,line,line_id,jersey_number,injury_status,game_time_decision,scrape_date,team_slug,player_id
anaheim-ducks,dallas-stars,Petr Mrazek,Backup Goalie,g2,Goalies,g,34.0,,False,2025-12-19,,
carolina-hurricanes,florida-panthers,Brandon Bussi,Starting Goalie,g1,Goalies,g,32.0,,False,2025-12-19,,
carolina-hurricanes,florida-panthers,Pyotr Kochetkov,Backup Goalie,g2,Goalies,g,52.0,,False,2025-12-19,,
colorado-avalanche,winnipeg-jets,Scott Wedgewood,Starting Goalie,g1,Goalies,g,41.0,,False,2025-12-19,,
colorado-avalanche,winnipeg-jets,Mackenzie Blackwood,Backup Goalie,g2,Goalies,g,39.0,,False,2025-12-19,,
dallas-stars,anaheim-ducks,Casey DeSmith,Starting Goalie,g1,Goalies,g,1.0,,False,2025-12-19,,
dallas-stars,anaheim-ducks,Jake Oettinger,Backup Goalie,g2,Goalies,g,29.0,,False,2025-12-19,,
florida-panthers,carolina-hurricanes,Sergei Bobrovsky,Starting Goalie,g1,Goalies,g,72.0,,False,2025-12-19,,
florida-panthers,carolina-hurricanes,Daniil Tarasov,Backup Goalie,g2,Goalies,g,40.0,,False,2025-12-19,,
new-jersey-devils,utah-hockey-club,Jacob Markstrom,Starting Goalie,g1,Goalies,g,25.0,,False,2025-12-19,,
new-jersey-devils,utah-hockey-club,Jake Allen,Backup Goalie,g2,Goalies,g,34.0,,False,2025-12-19,,
new-york-islanders,vancouver-canucks,Ilya Sorokin,Starting Goalie,g1,Goalies,g,30.0,,False,2025-12-19,,
new-york-islanders,vancouver-canucks,David Rittich,Backup Goalie,g2,Goalies,g,31.0,,False,2025-12-19,,
utah-hockey-club,new-jersey-devils,Karel Vejmelka,Starting Goalie,g1,Goalies,g,70.0,,False,2025-12-19,,
utah-hockey-club,new-jersey-devils,Vitek Vanecek,Backup Goalie,g2,Goalies,g,41.0,,False,2025-12-19,,
